类型,代码,名称,所属方向/题材,今日涨跌幅,成交额,是否涨停,连板天数,买入分析,买入结论,备注
连续涨停/热门强势股,002081,金螳螂,商业航天 / 芯片 / 数据中心 / AI,+10.02%,—,是,5,高位连板追高险,不追高,5连板
连续涨停/热门强势股,000066,中国长城,国产算力 / CPU / 芯片,+10.00%,119.97亿,是,3,主线核心但高位,不追高,3连板 / 龙虎榜净买入
连续涨停/热门强势股,603045,福达合金,数据中心 / 储能 / 新能源汽车,+10.01%,—,是,3,高位连板买点差,不追高,3连板
连续涨停/热门强势股,000818,航锦科技,算力租赁 / 芯片 / 数据中心,+10.03%,—,是,2,主线连板偏高,不追高,2连板
连续涨停/热门强势股,000889,中嘉博创,算力租赁 / 5G / 华为概念,+10.08%,—,是,2,主线连板需分歧,不追高,2连板
连续涨停/热门强势股,002217,合力泰,消费电子 / 华为概念 / 算力,+10.06%,—,是,2,连板后风险升,不追高,2连板
连续涨停,002903,宇环数控,工业母机 / 机器人 / 芯片,+10.00%,—,是,2,非最强主线连板,只观察,2连板
连续涨停,003041,真爱美家,纺织服装,涨停,—,是,2,非主线连板,规避,2连板
连续涨停,600130,波导股份,消费电子 / 汽车电子 / 卫星导航,+10.04%,—,是,2,情绪补涨明显,只观察,2连板
连续涨停,600396,华电辽能,电力 / 算电协同,+9.99%,—,是,2,非最强主线连板,只观察,2连板
连续涨停,600673,东阳光,算力租赁 / 数据中心,+9.99%,—,是,2,主线但连板高,不追高,2连板
连续涨停,600719,大连热电,电力 / 热电,涨停,—,是,2,非主线补涨,只观察,2连板
连续涨停,601991,大唐发电,电力 / 储能 / 风电,+10.04%,—,是,2,电力补涨为主,只观察,2连板
连续涨停,603158,腾龙股份,汽车零部件 / 储能,+9.97%,—,是,2,题材不够核心,只观察,2连板
连续涨停/热门强势股,603256,宏和科技,PCB / 玻纤 / 电子布,涨停,—,是,2,PCB主线已连板,不追高,PCB材料
连续涨停,603278,大业股份,光伏 / 金属制品,涨停,—,是,2,非主线情绪,规避,2连板
连续涨停,603316,诚邦股份,建筑装饰 / 半导体概念,涨停,—,是,2,纯情绪偏多,规避,2连板
连续涨停/热门强势股,603618,杭电股份,光纤光缆 / 算力硬件,+10.00%,—,是,2,主线强但已连板,不追高,光通信强势
连续涨停,688069,德林海,环保 / 储能 / 光伏概念,+20.00%,—,是,2,20cm连板过热,不追高,20cm连板
热门强势股,002384,东山精密,PCB / CPO / AI硬件,+10.00%,—,是,—,主线核心涨幅大,回调关注,PCB/CPO核心
热门强势股,002436,兴森科技,PCB / 半导体 / CPO,+10.01%,56.26亿,是,—,主线强机构买,回调关注,机构净买入
热门强势股,688167,炬光科技,CPO / 光通信 / 激光器,+20.00%,—,是,—,20cm追高险,不追高,CPO弹性股
热门强势股,600522,中天科技,光纤 / 光通信 / CPO,涨停,—,是,—,主线强涨停高,回调关注,光通信强势
热门强势股,002491,通鼎互联,光通信 / 光纤光缆,+10.02%,—,是,—,光纤主线涨停,回调关注,光纤光缆
热门强势股,002281,光迅科技,光通信 / 光模块,大涨,—,否,—,主线核心趋势强,回调关注,创历史新高
热门强势股,688313,仕佳光子,光通信 / 光芯片,大涨,—,否,—,主线强位置高,回调关注,创历史新高
热门强势股,300819,聚杰微纤,PCB / 电子布 / CCL,涨停,—,是,—,CCL强但涨停,回调关注,电子布强势
热门强势股,601208,东材科技,电子材料 / CCL,涨停,—,是,—,CCL主线涨停,回调关注,CCL强势
热门强势股,605006,山东玻纤,玻纤 / PCB材料,涨停,—,是,—,玻纤补涨涨停,回调关注,玻纤强势
热门强势股,605258,协和电子,PCB,涨停,—,是,—,PCB涨停偏高,回调关注,PCB概念
热门强势股,002008,大族激光,激光设备 / PCB设备,+10.00%,—,是,—,产业链涨停,回调关注,激光产业链
热门强势股,301171,易点天下,AI应用 / 营销,+20.01%,37.38亿,是,—,20cm且资金强,不追高,龙虎榜关注
热门强势股,688496,大普微-UW,企业级SSD / 存储,+14.06%,40.70亿,否,—,换手高波动大,只观察,机构净买入
热门强势股,688584,盛合晶微,半导体 / 先进封装,+11.11%,—,否,—,半导体弹性高,只观察,机构关注
热门强势股,002342,巨力索具,商业航天 / 高端装备,+9.99%,—,是,—,情绪热度较高,只观察,龙虎榜关注
